"filename", "language", "C#", "UnityShader", "JSON", "Objective-C++", "XML", "comment", "blank", "total"
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\linux\src\PlatformLinux.cs", "C#", -94, 0, 0, 0, 0, 0, -17, -111
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\mac\src\PlatformMac.cs", "C#", -94, 0, 0, 0, 0, 0, -15, -109
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\tvos\src\PlatformAppleTV.cs", "C#", -84, 0, 0, 0, 0, 0, -14, -98
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\visionos\src\PlatformVisionOS.cs", "C#", -110, 0, 0, 0, 0, 0, -17, -127
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\win\src\PlatformWindows.cs", "C#", -154, 0, 0, 0, 0, 0, -18, -172
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\AutomatableSlots.cs", "C#", -82, 0, 0, 0, 0, 0, -4, -86
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\BankRefAttribute.cs", "C#", -7, 0, 0, 0, 0, 0, -2, -9
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\BankRefDrawer.cs", "C#", -54, 0, 0, 0, 0, 0, -13, -67
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\BankRefreshWindow.cs", "C#", -188, 0, 0, 0, 0, -1, -49, -238
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\BankRefresher.cs", "C#", -142, 0, 0, 0, 0, 0, -26, -168
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\BoltIntegration.cs", "C#", -126, 0, 0, 0, 0, 0, -16, -142
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\CodeGeneration.cs", "C#", -102, 0, 0, 0, 0, -2, -21, -125
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\CreateEventPopup.cs", "C#", -336, 0, 0, 0, 0, -9, -58, -403
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EditorBankRef.cs", "C#", -61, 0, 0, 0, 0, -1, -14, -76
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EditorEventRef.cs", "C#", -39, 0, 0, 0, 0, 0, -6, -45
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EditorParamRef.cs", "C#", -61, 0, 0, 0, 0, 0, -8, -69
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EditorSettings.cs", "C#", -551, 0, 0, 0, 0, -38, -125, -714
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EditorUtils.cs", "C#", -1572, 0, 0, 0, 0, -27, -286, -1885
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EventBrowser.cs", "C#", -1451, 0, 0, 0, 0, -11, -321, -1783
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EventCache.cs", "C#", -37, 0, 0, 0, 0, 0, -4, -41
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EventManager.cs", "C#", -1119, 0, 0, 0, 0, -31, -219, -1369
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EventRefDrawer.cs", "C#", -421, 0, 0, 0, 0, 0, -92, -513
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\EventReferenceUpdater.cs", "C#", -2023, 0, 0, 0, 0, -17, -431, -2471
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\FMODEventPlayableEditor.cs", "C#", -389, 0, 0, 0, 0, -1, -112, -502
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\FMODEventTrackEditor.cs", "C#", -29, 0, 0, 0, 0, -2, -8, -39
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\FMODUnityEditor.asmdef", "JSON", 0, 0, -45, 0, 0, 0, 0, -45
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\FileReorganizer.cs", "C#", -1109, 0, 0, 0, 0, -12, -256, -1377
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\FindAndReplace.cs", "C#", -174, 0, 0, 0, 0, 0, -17, -191
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\ListView.cs", "C#", -34, 0, 0, 0, 0, 0, -12, -46
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\ParamRefDrawer.cs", "C#", -68, 0, 0, 0, 0, 0, -14, -82
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\SettingsEditor.cs", "C#", -2143, 0, 0, 0, 0, -21, -620, -2784
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\SetupWizard.cs", "C#", -955, 0, 0, 0, 0, -18, -181, -1154
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioBankLoaderEditor.cs", "C#", -84, 0, 0, 0, 0, 0, -18, -102
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioEventEmitterEditor.cs", "C#", -410, 0, 0, 0, 0, -27, -96, -533
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioEventEmitterGizmoDrawer.cs", "C#", -13, 0, 0, 0, 0, 0, -2, -15
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioGlobalParameterTriggerEditor.cs", "C#", -71, 0, 0, 0, 0, 0, -15, -86
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioListenerEditor.cs", "C#", -28, 0, 0, 0, 0, 0, -5, -33
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Editor\StudioParameterTriggerEditor.cs", "C#", -137, 0, 0, 0, 0, -1, -16, -154
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\EventHandler.cs", "C#", -106, 0, 0, 0, 0, 0, -22, -128
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\EventRefAttribute.cs", "C#", -10, 0, 0, 0, 0, 0, -2, -12
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\EventReference.cs", "C#", -45, 0, 0, 0, 0, 0, -9, -54
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\FMODEventPlayable.cs", "C#", -301, 0, 0, 0, 0, -5, -55, -361
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\FMODEventTrack.cs", "C#", -58, 0, 0, 0, 0, -4, -12, -74
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\FMODRuntimeManagerOnGUIHelper.cs", "C#", -17, 0, 0, 0, 0, 0, -3, -20
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\ParamRef.cs", "C#", -11, 0, 0, 0, 0, 0, -2, -13
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\ParamRefAttribute.cs", "C#", -7, 0, 0, 0, 0, 0, -2, -9
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Platform.cs", "C#", -792, 0, 0, 0, 0, -80, -165, -1037
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\PlatformDefault.cs", "C#", -51, 0, 0, 0, 0, -1, -13, -65
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\PlatformGroup.cs", "C#", -42, 0, 0, 0, 0, 0, -10, -52
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\PlatformMobileHigh.cs", "C#", -86, 0, 0, 0, 0, -1, -6, -93
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\PlatformMobileLow.cs", "C#", -77, 0, 0, 0, 0, 0, -13, -90
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\PlatformPlayInEditor.cs", "C#", -112, 0, 0, 0, 0, -2, -19, -133
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\RuntimeManager.cs", "C#", -1380, 0, 0, 0, 0, -10, -209, -1599
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\RuntimeUtils.cs", "C#", -541, 0, 0, 0, 0, -4, -84, -629
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\Settings.cs", "C#", -826, 0, 0, 0, 0, -41, -154, -1021
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\StudioBankLoader.cs", "C#", -105, 0, 0, 0, 0, 0, -14, -119
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\StudioEventEmitter.cs", "C#", -342, 0, 0, 0, 0, -4, -64, -410
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\StudioGlobalParameterTrigger.cs", "C#", -49, 0, 0, 0, 0, 0, -8, -57
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\StudioListener.cs", "C#", -137, 0, 0, 0, 0, -2, -23, -162
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\StudioParameterTrigger.cs", "C#", -58, 0, 0, 0, 0, 0, -6, -64
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\fmod.cs", "C#", -3689, 0, 0, 0, 0, -116, -263, -4068
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\fmod_dsp.cs", "C#", -809, 0, 0, 0, 0, -28, -97, -934
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\fmod_errors.cs", "C#", -95, 0, 0, 0, 0, -10, -2, -107
"d:\Unity\WildFire\Assets\Plugins\FMOD\src\fmod_studio.cs", "C#", -2073, 0, 0, 0, 0, -16, -162, -2251
"d:\Unity\WildFire\Assets\Resources\Prefab\MoonOrbitalHit.cs", "C#", -14, 0, 0, 0, 0, 0, -3, -17
"d:\Unity\WildFire\Assets\Resources\Prefab\MoonSpinner.cs", "C#", -24, 0, 0, 0, 0, -1, -6, -31
"d:\Unity\WildFire\Assets\Resources\Prefab\OrbitalHit.cs", "C#", -18, 0, 0, 0, 0, 0, -6, -24
"d:\Unity\WildFire\Assets\Resources\Prefab\Spinner.cs", "C#", -41, 0, 0, 0, 0, 0, -14, -55
"d:\Unity\WildFire\Assets\Sprites\Flamey\Orbital\PlanetSelect.cs", "C#", -9, 0, 0, 0, 0, 0, -2, -11
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, -130, 0, 0, 0, -18, -31, -179
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, -123, 0, 0, 0, -3, -30, -156
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -65, -322
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, -198, 0, 0, 0, -10, -51, -259
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, -193, 0, 0, 0, -8, -52, -253
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, -82, 0, 0, 0, -4, -21, -107
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, -290, 0, 0, 0, -15, -85, -390
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, -192, 0, 0, 0, -8, -51, -251
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, -104, 0, 0, 0, -8, -28, -140
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, -123, 0, 0, 0, -4, -33, -160
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, -111, 0, 0, 0, 0, -21, -132
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, -63, 0, 0, 0, -2, -20, -85
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, -129, 0, 0, 0, -2, -35, -166
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, -62, 0, 0, 0, -6, -13, -81
"d:\Unity\WildFire\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, -75, 0, 0, 0, -7, -18, -100
"d:\Unity\WildFire\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, -155, 0, 0, 0, -2, -157
"d:\Unity\WildFire\Assets\TreeSprite.cs", "C#", -22, 0, 0, 0, 0, 0, -7, -29
"Total", "-", -28632, -2860, -276, -102, -3221, -1348, -5760, -42199
