English;Português;简体中文;繁體中文
On-Hitted Effect;Efeito de Contra-Ataque;反击效果;反擊效果
<size=100%><style="Yellow">- Level 1 -</style><br><size=80%>{0};<size=100%><style="Yellow">- Nível 1 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 1 级 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 1 級 -</style><br><size=80%>{0}
<size=100%><style="Yellow">- Level 2 -</style><br><size=80%>{0};<size=100%><style="Yellow">- Nível 2 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 2 级 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 2 級 -</style><br><size=80%>{0}
<size=100%><style="Yellow">- Level 3 -</style><br><size=80%>{0};<size=100%><style="Yellow">- Nível 3 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 3 级 -</style><br><size=80%>{0};<size=100%><style="Yellow">- 3 級 -</style><br><size=80%>{0}
You will start the night with this skill;Começarás a noite com esta abilidade;你将在夜晚开始时拥有此技能;你將在夜晚開始時擁有此技能
This skill will not appear during the night;Esta habilidade não aparecerá durante a noite;此技能不会在夜晚出现;此技能不會在夜晚出現
Assassin;Assassino;刺客;刺客
Gain <style="Red">Armor Penetration</style> and ignore a certain percentage of the Enemy's armor when dealing <style="Red">damage;Ganha <style="Red">Penetração de Armadura</style> e passa a ignorar uma certa percentagem da armadura do inimigo ao dar <style="Red">dano;获得<style="Red">护甲穿透</style>效果，在造成<color=red>伤害</color>时，无视敌人部分护甲;獲得<style="Red">護甲穿透</style>效果，在造成<color=red>傷害</color>時，無視敵人部分護甲
Gain the ability to <style="Red">Execute</style> enemies when their <style="Green">HP</style> drops below a certain percentage of their <style="Green">Max HP;Ganha a capacidade de <style="Red">Executar</style> inimigos quando a sua <style="Green">Vida</style> fica abaixo duma certa percentagem da <style="Green">Vida Máxima;获得<style="Red">处决</style>能力，当敌人的<style="Green">生命值</style>低于其<style="Green">最大生命值</style>的一定比例时，可将其处决。;獲得<style="Red">處決</style>能力，當敵人的<style="Green">生命值</style>低於其<style="Green">最大生命值</style>的一定比例時，可將其處決。
<style="Red">Executing</style> an enemy will apply <style="Pink">On-Death Effects</style> thrice;<style="Red">Executar</style> um inimigo irá aplicar <style="Pink">Efeitos Mortais</style> três vezes;<style="Red">处决</style>敌人时，将触发三次<color=pink>死亡效果</color>;<style="Red">處決</style>敵人時，將觸發三次<color=pink>死亡效果</color>
Multicaster;Multi-Lançador;多重施法者;多重施法者
Whenever you shoot a flame there's a chance you shoot <style="LYellow">another one</style> right after;Quando uma chama for disparada haverá uma chance de disparar <style="LYellow">mais uma</style> de seguida;发射火焰时，有几率追加<style="LYellow">一道火焰</style>;發射火焰時，有機率追加<style="LYellow">一道火焰</style>
Unlock new <style="LYellow">Targeting</style> options for the secondary fireball <style="LGrey">(Same, Random, Second Target, Mouse Position);Desbloqueia novas opções de <style="LYellow">alvo</style> para a chama extra <style="LGrey">(Igual, Aleatório, Alvo secundário, Posição do rato);解锁次级火球的新<style="Yellow">瞄准模式</style>：<style="LGrey">（同目标/随机/第二目标/鼠标位置）</style>;解鎖次級火球的新<style="Yellow">瞄準模式</style>：<style="LGrey">（同目標/隨機/第二目標/滑鼠位置）</style>
All fireballs have a <style="LYellow">10%</style> chance of <style="LYellow">ricocheting</style> when landing on an enemy;Todas as chamas que acertem num inimigo têm uma chance de <style="LYellow">10%</style> de  fazer <style="LYellow">ricochete</style>;火球命中敌人时有<style="LYellow">10%</style>几率<style="LYellow">反弹</style>;火球命中敵人時有<style="LYellow">10%</style>機率<style="LYellow">反彈</style>
Burst Shot;Rajada de Chamas;多重射击;多重射擊
Bursting will increase the amount of fireballs in your next <style="LYellow">Burst</style> by <style="LYellow">+1 <style="Grey">(Max. 2xBurst Amount).</style></style> This resets at the end of the round;Cada Rajada aumentará a quantidade de bolas de fogo da próxima <style="LYellow">Rajada</style> em <style="LYellow">+1 <style="Grey">(Máx. 2xQuantidade de Rajada).</style></style> Este valor reinicia no final da ronda;狂怒将使你下次<style="LYellow">多重射击</style>的火球数量增加<style="LYellow">+1</style><style="Grey">（上限为2倍基础射击量）</style>，该效果在回合结束时重置;狂怒將使你下次<style="LYellow">多重射擊</style>的火球數量增加<style="LYellow">+1</style><style="Grey">（上限為2倍基礎射擊量）</style>，該效果在回合結束時重設
Shoot a <style="LYellow">burst of shots</style> everytime you throw a certain amount of flames;Dispara uma <style="LYellow">rajada de chamas</style> sempre que um certo número de labaredas forem disparadas;投掷一定火焰后，<style="LYellow">多重射击</style>生效;投擲一定火焰後，<style="LYellow">多重射擊</style>生效
Unlock new <style="LYellow">targeting</style> options for your <style="LYellow">burst shots <style="LGrey">(Random, Same, Most Max HP);Desbloqueia novas opções de <style="LYellow">alvo</style> para as <style="LYellow">chamas em rajada <style="LGrey">(Aleatório, Igual, Mais Vida Máxima);<style="LYellow">多重射击</style>解锁新的<style="LYellow">目标</style><style="LGrey">（随机、相同、最高生命值）</style>;<style="LYellow">多重射擊</style>解鎖新的<style="LYellow">目標</style><style="LGrey">（隨機、相同、最高生命值）</style>
Bursting will increase the amount of fireballs in your next <style="LYellow">Burst</style> by <style="LYellow">+1.</style> The amount of extra fireballs gained through this passive is reseted at the end of each round;Sempre que a uma <style="LYellow">rajada</style> for disparada, o número de chamas da próxima <style="LYellow">rajada</style> aumenta por <style="LYellow">+1.</style> A quantidade de chamas extra ganhas através desta habilidade é reposta no início de cada ronda;每次狂怒会使你下一次<style="LYellow">爆裂射击</style>的火球数量+1，回合结束重置;每次狂怒會使你下一次<style="LYellow">爆裂射擊</style>的火球數量+1，回合結束重設
Magical Shot;Chama Mágica;魔力弹;魔力彈
Shoot a <style="Blue">Magical Shot</style> everytime you throw a certain amount of flames, dealing <style="Red">Extra Damage</style> to enemies;Dispara uma <style="Blue">Chama Mágica</style> sempre que um certo número de labaredas forem disparadas, causando <style="Red">Dano Extra</style>;投掷一定数量火焰后，发射<style="Blue">魔力弹</style>，造成<style="Red">额外伤害</style>;投擲一定數量火焰後，發射<style="Blue">魔力彈</style>，造成<style="Red">額外傷害</style>
The starting <style="LYellow">interval</style> gets reduced in half;O <style="LYellow">intervalo</style> inicial é reduzido para metade;初始<style="LYellow">间隔</style>减半;初始<style="LYellow">間隔</style>減半
Shoot a <style="Pink">Prismatic Shot</style> every <style="LYellow">20</style> <style="Blue">Magical Shots,</style> dealing <style="Red">5x Damage;Dispara uma <style="Pink">Chama Prismática</style> a cada <style="LYellow">20</style> <style="Blue">Chamas Mágicas,</style> causando <style="Red">5x Dano;每<style="LYellow">20</style>发<style="Blue">魔力弹</style>，会释放一发<style="Pink">光棱弹</style>，造成<style="Red">5倍伤害</style>;每<style="LYellow">20</style>發<style="Blue">魔力彈</style>，會釋放一發<style="Pink">光稜彈</style>，造成<style="Red">5倍傷害</style>
Static Energy;Energia Estática;蹦蹦能量;蹦蹦能量
<style="LYellow">Static Energy</style> will jump from enemy to enemy, reducing its <style="Red">damage</style> as it bounces;<style="LYellow">Energia Estática</style> passará de inimigo para inimigo, reduzindo o seu <style="Red">dano</style> à medida que o faz;<style="LYellow">蹦蹦能量</style>会在敌人之间跳来跳去，每次弹跳伤害 <style="Red"> 递减</style>;<style="LYellow">蹦蹦能量</style>會在敵人之間跳來跳去，每次彈跳傷害 <style="Red"> 遞減</style>
<style="Pink">On-Hit Effects</style> will be applied on enemies struck by <style="LYellow">Static Energy</style>;<style="Pink">Efeitos de Contacto</style> serão aplicados em inimigos atingidos por <style="LYellow">Energia Estática</style>;<style="LYellow">蹦蹦能量</style>击中的敌人会触发 <style="Pink"> 命中效果</style>;<style="LYellow">蹦蹦能量</style>擊中的敵人會觸發 <style="Pink"> 命中效果</style>
<style="LYellow">Static Energy's</style> <style="Red">damage</style> will not decay anymore;O <style="Red">dano</style> da <style="LYellow">Energia Estática</style> não irá enfraquecer ao passar de inimigo;<style="LYellow">蹦蹦能量</style>的<style="Red">伤害</style>不再减少;<style="LYellow">蹦蹦能量</style>的<style="Red">傷害</style>不再減少
Lava Pool;Poça de Lava;熔岩池;熔岩池
<style="LYellow">Lava Pools</style> burn Enemies standing on top of them, dealing <style="Red">damage</style> over time. Animals with <style="Brown">hooves</style> will only take 10% of the <style="Red">damage</style>, whilst <style="Orange">burried</color> enemies will <style="Red">not</style> be affected at all;<style="LYellow">Poças de Lava</style> queimam inimigos que pisam nelas, causando <style="Red">dano</style> ao longo do tempo. Animais com <style="Brown">cascos</style> apenas receberão 10% desse <style="Red">dano</style> e inimigos <style="Orange">enterrados</color> <style="Red">não</style> serão afetados de todo;<style="LYellow">熔岩池</style>会灼烧并造成<style="Red">持续伤害</style>。长着<style="Brown">蹄子</style>的动物只受到<style="Red">10%</style>的灼烧伤害，而<style="Orange">埋在地下的</style>动物<style="Red">不受伤害</style>;<style="LYellow">熔岩池</style>會灼燒並造成<style="Red">持續傷害</style>。長著<style="Brown">蹄子</style>的動物只受到<style="Red">10%</style>的灼燒傷害，而<style="Orange">埋在地下的</style>動物<style="Red">不受傷害</style>
<style="Red">Damage</style> on animals with <style="Brown">hooves</style> increases to <style="LYellow">50%</style> and to <style="LYellow">100%</style> for <style="Orange">burried</color> ones;<style="Red">Dano</style> a animais com <style="Brown">cascos</style> aumenta para <style="LYellow">50%</style> e para <style="LYellow">100%</style> aos que estejam <style="Orange">enterrados</color>;长着 <style="Brown"> 蹄子</style>的敌人受到的 <style="Red"> 伤害</style>增加到 <style="LYellow">50%</style>，<color="Orange"> 埋在地下</color>的敌人受到的伤害增加到 <style="LYellow">100%</style>;長著 <style="Brown"> 蹄子</style>的敵人受到的 <style="Red"> 傷害</style>增加到 <style="LYellow">50%</style>，<color="Orange"> 埋在地下</color>的敵人受到的傷害增加到 <style="LYellow">100%</style>
Each time a <style="LYellow">Lava Pools</style> deals damage it will melt <style="LYellow">5%</style> of the enemy's <style="Grey">armor;Sempre que um inimigo for afetado pela <style="LYellow">Poça de Lava</style>, <style="LYellow">5%</style> da sua <style="Grey">armadura</style> será derretida;<style="LYellow">熔岩池</style>产生灼烧伤害时，敌人<style="Grey">护甲</style><style="LYellow">-5%</style>;<style="LYellow">熔岩池</style>產生灼燒傷害時，敵人<style="Grey">護甲</style><style="LYellow">-5%</style>
Thunder;Relâmpago;雷电;雷電
<style="LYellow">Thunders</style> will spawn on a random target, dealing massive amounts of <style="Red">damage</style> and applying <style="Pink">On-Land Effects;<style="LYellow">Relâmpagos</style> serão lançados em alvos aleatórios, causando quantidades significativas de <style="Red">dano</style> e aplicando <style="Pink">Efeitos de Aterragem;<style="LYellow">雷电</style>会在随机目标上生成，造成大量<style="Red">伤害</style>并触发<style="Pink">落地效果</style>;<style="LYellow">雷電</style>會在隨機目標上生成，造成大量<style="Red">傷害</style>並觸發<style="Pink">落地效果</style>
<style="LYellow">Thunders</style> will apply <style="Pink">On-Land Effects</style> <style="LYellow">twice;<style="LYellow">Relâmpagos</style> irão aplicar <style="Pink">Efeitos de Aterragem</style> <style="LYellow">duas vezes;<style="LYellow">雷电</style>会触发<style="LYellow">两次</style><style="Pink">落地效果</style>;<style="LYellow">雷電</style>會觸發<style="LYellow">兩次</style><style="Pink">落地效果</style>
<style="LYellow">Thunders</color> will <style="Blue">stun</style> enemies for <style="LYellow">1 second;<style="LYellow">Relâmpagos</color> irão <style="Blue">atordoar</style> inimigos durante<style="LYellow">1 segundo;<style="LYellow">雷电</style>会使敌人<style="Blue">眩晕</style><style="LYellow">1秒</style>;<style="LYellow">雷電</style>會使敵人<style="Blue">眩暈</style><style="LYellow">1秒</style>
Ritual;Ritual;仪式;儀式
<style="LYellow">Candles</color> will stand by your side shooting random targets. Their flames <style="Red">won't</style> proc <style="Pink">On-Hit/On-Land Effects;<style="LYellow">Velas</color> ficarão ao lado da lareira a disparar em alvos aleatórios. As suas chamas <style="Red">não</style> aplicarão <style="Pink">Efeitos de Contacto</style> nem de <style="Pink">Aterragem</style>;生成<style="LYellow"> 蜡烛</style>在你身旁随机攻击敌人。它们的火焰 <style="Red"> 不会</style>触发 <style="Pink"> 击中 / 落地效果</style>;生成<style="LYellow"> 蠟燭</style>在你身旁隨機攻擊敵人。它們的火焰 <style="Red"> 不會</style>觸發 <style="Pink"> 擊中 / 落地效果</style>
<style="LYellow">Candles</color> will shoot <style="LYellow">six</style> times faster when the <style="Yellow">Campfire</style> gets <style="Blue">stunned;<style="LYellow">Velas</color> irão disparar <style="LYellow">6</style> vezes mais rápido quando a <style="Yellow">lareira</style> é <style="Blue">atordoada;<style="Yellow"> 营火</style>处于 <style="Blue"> 眩晕状态</style>时，<style="LYellow"> 蜡烛</style>的射击速度提升 <style="LYellow"> 六倍</style>;<style="Yellow"> 營火</style>處於 <style="Blue"> 眩暈狀態</style>時，<style="LYellow"> 蠟燭</style>的射擊速度提升 <style="LYellow"> 六倍</style>
Every time you gain a <style="LYellow">candle</style>, gain an <style="LYellow">extra one</style>;Sempre que obtiver uma <style="LYellow">vela</style>, ganhará <style="LYellow">uma extra</style>;每获得一支 <style="LYellow"> 蜡烛</style>，将额外再获得一支;每獲得一支 <style="LYellow"> 蠟燭</style>，將額外再獲得一支
Necromancer;Necromante;亡灵巫师;亡靈巫師
<style="Blue">Ghouls</style> will spawn from dead enemies and will inflict a percentage of <style="Red">your damage</style> to nearby enemies for a total of <style="LYellow">3 times;<style="Blue">Espíritos</style> nascerão de inimigos mortos e irão infligir uma percentage do <style="Red">dano</style> da fogueira a inimigos próximos até <style="LYellow">3 vezes;敌人尸体会生成<style="Blue"> 食尸鬼</style>，并对附近敌人造成一定比例<style="Red"> 你所受的伤害</style>，共攻击 <style="LYellow">3 次</style>;敵人屍體會生成<style="Blue"> 食屍鬼</style>，並對附近敵人造成一定比例<style="Red"> 你所受的傷害</style>，共攻擊 <style="LYellow">3 次</style>
Ghouls will hit <style="LYellow">+2</style> more times before disappearing and their last hit deals <style="Red">True Damage;Espíritos atacarão <style="LYellow">+2</style> vezes antes de desaparecerem e o seu último ataque causa <style="Red">Dano Verdadeiro;食尸鬼在消失前攻击次数 <style="LYellow">+2</style>，且最后一击造成 <style="Red"> 真实伤害</style>;食屍鬼在消失前攻擊次數 <style="LYellow">+2</style>，且最後一擊造成 <style="Red"> 真實傷害</style>
Ghouls will hit <style="LYellow">+2</style> more times before disappearing and will apply <style="Pink">On-Death Effects</style> when doing so (including <style="Yellow">Necromancer</style>);Espíritos atacarão <style="LYellow">+2</style> vezes antes de desaparecerem e aplicarão <style="Pink">Efeitos Mortais</style> ao fazê-lo (incluíndo <style="Yellow">Necromante</style>);食尸鬼在消失前攻击次数 <style="LYellow">+2</style>次，攻击时会触发 <style="Pink"> 死亡效果</style>（包括 <style="Yellow"> 亡灵巫师</style>自身效果）;食屍鬼在消失前攻擊次數 <style="LYellow">+2</style>次，攻擊時會觸發 <style="Pink"> 死亡效果</style>（包括 <style="Yellow"> 亡靈巫師</style>自身效果）
Regeneration;Regeneração;生命恢复;生命恢復
Heal <style="Green">missing HP</style> each second and gain bonus <style="Green">Max HP</style> per round;Recupera <style="Green">vida</style> a cada segundo e ganha <style="Green">Vida Máxima</style> bonus no final de cada ronda;每秒恢复 <style="Green"> 生命值</style>，每轮获得额外的 <style="Green"> 最大生命值</style>加成;每秒恢復 <style="Green"> 生命值</style>，每輪獲得額外的 <style="Green"> 最大生命值</style>加成
<style="Green">Healing</style> effects from any source will be <style="Green">2 times</style> more efficient;Efeitos de <style="Green">cura</style> de qualquer fonte serão <style="Green">2 times</style> mais eficientes;所有<style="Green"> 治疗</style>效果提高 <style="Green"> 两倍</style>;所有<style="Green"> 治療</style>效果提高 <style="Green"> 兩倍</style>
<style="Green">Healing</style> is up to <style="LYellow">200%</style> stronger when low on <style="Green">Health;<style="Green">Cura</style> é até <style="LYellow">200%</style> mais forte quando a lareira tem pouca <style="Green">Vida;生命值较低时，<style="Green"> 治疗</style>效果最高可提升至 <style="LYellow">200%</style>;生命值較低時，<style="Green"> 治療</style>效果最高可提升至 <style="LYellow">200%</style>
Critical Strike;Acerto Crítico;暴击;暴擊
Some shots will <style="Red">critically strike,</style> enhancing their <style="Red">damage</style> significantly;Algumas chamas irão <style="Red">acertar críticamente,</style> melhorando o seu <style="Red">dano</style> significativamente;有几率触发 <style="Red"> 暴击</style>，大幅提高 <style="Red"> 伤害</style>;有機率觸發 <style="Red"> 暴擊</style>，大幅提高 <style="Red"> 傷害</style>
<style="Red">Critical Strike Multiplier</style> will no longer be capped;O <style="Red">multiplicador de acerto crítico</style> não terá limite;<style="Red"> 暴击伤害倍率</style>无上限;<style="Red"> 暴擊傷害倍率</style>無上限
Gain a <style="LYellow">10%</style> chance of <style="Red">Critical Striking</style> a <style="Red">Critical Shot,</style> applying the <style="Red">damage multiplier</style> again;Ganha uma chance de <style="LYellow">10%</style> de <style="Red">acertar críticamente</style> uma <style="Red">Chama Crítica,</style> aplicando o <style="Red">multiplicador de dano</style> novamente;获得 <style="LYellow">10%</style>的几率触发<style="Red">双重暴击</style>，伤害倍率<style="Red">翻倍</style>;獲得 <style="LYellow">10%</style>的機率觸發<style="Red">雙重暴擊</style>，傷害倍率<style="Red">翻倍</style>
Orbits;Orbitas;星轨;星軌
Small <style="LYellow">orbits</style> will circle the campfire, applying <style="Pink">On-Hit Effects</style> to enemies hit;Pequenas <style="LYellow">orbitas</style> circundarão a lareira, aplicando <style="Pink">Efeitos de Contacto</style> a inimigos atingidos;小型 <style="LYellow">轨道</style> 将环绕营火运行，对命中的敌人施加 <style="Pink">触发效果</style>;小型 <style="LYellow">軌道</style> 將環繞營火運行，對命中的敵人施加 <style="Pink">觸發效果</style>
<style="LYellow">Orbits</style> will spin <style="LYellow">twice</style> as fast;<style="LYellow">Orbitas</style> girarão <style="LYellow">duas vezes</style> mais rápido;<style="LYellow">轨道</style> 的旋转速度提升 <style="LYellow">200%</style>;<style="LYellow">軌道</style> 的旋轉速度提升 <style="LYellow">200%</style>
Any increase in <style="LYellow">orbits</style> will be doubled;Qualquer aumento no número de <style="LYellow">orbitas</style> será dobrado;<style="LYellow">轨道</style> 的所有属性增益效果 <style="LYellow">翻倍</style>;<style="LYellow">軌道</style> 的所有屬性增益效果 <style="LYellow">翻倍</style>
Bee Summoner;Invocador de Abelhas;蜜蜂召唤术;蜜蜂召喚術
Gain the ability summon <style="LYellow">Bees</style> that will fight alongside you;Ganha a abilidade de invocar <style="LYellow">Abelhas</style> que lutarão ao teu lado;获得召唤 <style="LYellow"> 蜜蜂</style>与你并肩作战的能力;獲得召喚 <style="LYellow"> 蜜蜂</style>與你並肩作戰的能力
Unlock new <style="LYellow">Bee</style> types <style="LGrey">(Puncher, Assassin, Warrior, Agile, Chemical and Pollinator);Desbloqueia novos tipos de <style="LYellow">Abelha</style> <style="LGrey">(Pugilista, Assassina, Guerreira, Ágil, Química e Polinizadora);解锁新的 <style="LYellow"> 蜜蜂</style>类型 <style="LGrey">（拳击蜂、刺客蜂、战士蜂、敏捷蜂、化学蜂和授粉蜂）</style>;解鎖新的 <style="LYellow"> 蜜蜂</style>類型 <style="LGrey">（拳擊蜂、刺客蜂、戰士蜂、敏捷蜂、化學蜂和授粉蜂）</style>
Every time you gain a <style="LYellow">Bee</style>, gain an <style="LYellow">extra one</style> of the same type;Sempre que ganhares uma <style="LYellow">Abelha</style>, ganha <style="LYellow">outra extra</style> da mesma classe;每获得一只 <style="LYellow"> 蜜蜂</style>，会额外获得一只同类型的蜜蜂;每獲得一隻 <style="LYellow"> 蜜蜂</style>，會額外獲得一隻同類型的蜜蜂
Freeze;Congelar;冰冻术;冰凍術
<style="LYellow">Freezing</style> an enemy will <style="LBlue">slow</style> them for some seconds. Gain <style="LBlue">+2.6% Slow</style> for every <style="Green">100 Bonus Max HP</style> you have.;<style="LYellow">Congelar</style> um inimigo irá <style="LBlue">abrandá-lo</style> durante uns segundos. Abranda <style="LBlue">+2.6%</style> por cada <style="Green">100 de Vida Máxima </style>a mais;<style="LYellow"> 冰冻</style>敌人会使其 <style="LBlue"> 减速</style>数秒。每拥有 <style="Green">100 点附加生命上限</style>，减速效果 <style="LBlue">+2.6%</style>;<style="LYellow"> 冰凍</style>敵人會使其 <style="LBlue"> 減速</style>數秒。每擁有 <style="Green">100 點附加生命上限</style>，減速效果 <style="LBlue">+2.6%</style>
<style="LYellow">Double</style> the intensity of your <style="LBlue">Slow</style> effect;<style="LYellow">Duplica</style> a intensidade do efeito de <style="LBlue">congelamento</style>;<style="LBlue"> 减速</style>效果的强度 <style="LYellow"> 翻倍</style>;<style="LBlue"> 減速</style>效果的強度 <style="LYellow"> 翻倍</style>
<style="LBlue">Slowed</style> enemies take <style="LYellow">200%</style> <style="Red">damage</style> from all sources;Inimigos <style="LBlue">congelados</style> receberão <style="LYellow">200%</style> de <style="Red">damage</style> de todas as fontes;处于<style="LBlue">减速</style>状态的敌人会受到<style="LYellow">200%</style><style="Red">伤害</style>;處於<style="LBlue">減速</style>狀態的敵人會受到<style="LYellow">200%</style><style="Red">傷害</style>
Snow Pool;Poça de Neve;雪池;雪池
<style="LBlue">Snow Pools</style> will slow enemies stepping on it and they do not stack with other<style="LBlue"> Snow Pools.;<style="LBlue">Poças de Neve</style> abrandarão inimigos que estejam em cima delas, mas não acumulam com outras<style="LBlue"> Poças.;踏入<style="LBlue">雪池</style>的敌人会减速，减速效果不与其他<style="LBlue">雪池</style>叠加;踏入<style="LBlue">雪池</style>的敵人會減速，減速效果不與其他<style="LBlue">雪池</style>疊加
Enemies standing on a <style="LBlue">Snow Pool</style> will not be able to <style="Orange">Jump;Inimigos que estejam a pisar numa <style="LBlue">Poça de Neve</style> não serão capazes de <style="Orange">Saltar;站在<style="LBlue">雪池</style>上的敌人无法<style="Orange">跳跃</style>;站在<style="LBlue">雪池</style>上的敵人無法<style="Orange">跳躍</style>
<style="LBlue">Slowed</style> enemies that step onto a <style="LBlue">Snow Pool</style> will also get <style="Blue>stunned</style> for <style="LYellow">2 seconds;Inimigos <style="LBlue">abrandados</style> que pisem numa <style="LBlue">Poça de Neve</style> serão também <style="Blue>atordoados</style> por <style="LYellow">2 segundos;<style="LBlue">已减速</style>的敌人再次踏入<style="LBlue">雪池</style>时，将<style="Blue">眩晕</style><style="LYellow">2秒</style>;<style="LBlue">已減速</style>的敵人再次踏入<style="LBlue">雪池</style>時，將<style="Blue">眩暈</style><style="LYellow">2秒</style>
Vampire;Vampiro;吸血鬼;吸血鬼
<style="Green">Heal</style> for a percentage of the <style="Red">damage</style> you deal;<style="Green">Cura</style> por uma percentagem do <style="Red">dano</style> que causas;你造成的<style="Red">伤害</style>会转化为<style="Green">吸血</style>效果，吸收一定比例的生命值;你造成的<style="Red">傷害</style>會轉化為<style="Green">吸血</style>效果，吸收一定比例的生命值
If the enemy has less <style="Green">HP</style> than you have <style="Red">damage,</style> <style="Green">heal</style> <style="LYellow">double</style> the amount;Se um inimigo tem menos <style="Green">Vida</style> do que tu tens <style="Red">dano,</style> <style="Green">cura</style> pelo <style="LYellow">dobro</style>;当敌人的<style="Green">生命值</style>低于你造成的<style="Red">伤害</style>时，<style="Green">吸血</style>效果<style="LYellow">翻倍</style>;當敵人的<style="Green">生命值</style>低於你造成的<style="Red">傷害</style>時，<style="Green">吸血</style>效果<style="LYellow">翻倍</style>
<style="Green">Healing Percentage's</style> limit is removed;O limite da <style="Green">percentagem de cura</style> é removido;<style="Green">吸血比例</style>没有上限;<style="Green">吸血比例</style>沒有上限
Flower Field;Campo de Flores;花园;花園
